customer_unique_id,Segment,Recency,Frequency,Monetary,RFM_SCORE,product_category_frequently
0000366f3b9a7992bf8c76cfdf3221e2,이탈 위험 고객,113,1,141.9,213,bed_bath_table
000ec5bff359e1c0ad76a81a45cb598f,신규 고객,10,1,27.75,511,home_appliances
00172711b30d52eea8b313a7f2cced02,관심 고객,34,1,122.07,413,stationery
001928b561575b2821c92254a2327d06,관심 고객,6,1,329.62,515,['bed_bath_table' 'furniture_living_room']
0019e8c501c85848ac0966d45226fa1d,이탈 위험 고객,122,1,197.27,114,sports_leisure
002311514717ca8b65b09a26cdf7b91a,관심 고객,65,1,124.32,313,auto
0025795df7a7d077c4c90162fa820085,관심 고객,38,1,428.16,415,stationery
0034c76b7e6a17d738375b99afc2f01e,이탈 고객,115,1,44.23,211,home_appliances
0035029989e6fc5cf030918a5f9f2037,이탈 위험 고객,110,1,1092.24,215,luggage_accessories
003c2067070f5b3d923235b1ea1cc17b,관심 고객,24,1,147.38,513,sports_leisure
0042dfa8925d6eb23e471ec350454f04,신규 고객,36,1,62.91,412,baby
004df63539fd5e38d4b0a0506de7549c,관심 고객,46,1,993.55,415,watches_gifts
00504b68faa074d0f40adcb4f7727f71,관심 고객,19,1,397.4,515,bed_bath_table
0056c2dd794a5eede6164dcae635875a,관심 고객,22,1,171.88,514,housewares
005d8faa4cf789cf52fb880a8569880a,이탈 고객,112,1,89.25,212,bed_bath_table
0064c96f536ac6250275482221834154,이탈 위험 고객,71,1,65.33,312,housewares
0067d2652c12515146721538868bbd80,관심 고객,73,1,190.28,314,baby
0068bd2e9e76c018846dbc6e2bec5ac5,이탈 위험 고객,66,1,79.51,312,bed_bath_table
007b8307b6448f0425ff2001f00c1bdb,이탈 고객,108,1,40.94,211,electronics
008ca52811784a181c8c88e8d66b49db,관심 고객,15,1,136.64,513,stationery
008ea5bdd1a99fb584cce7739349da75,이탈 고객,139,1,64.04,112,watches_gifts
00a02d822b18db532e50e0607e615f3b,관심 고객,17,1,199.26,514,computers_accessories
00ad4e6c01a3039fa1b45eaadb4222e4,이탈 위험 고객,69,1,78.51,312,pet_shop
00ae50eb5e1d2514f694dee1dcbbd5ae,이탈 위험 고객,112,1,1380.5500000000002,215,furniture_decor
00b9746bf8ac2964942d8b969f015196,신규 고객,30,1,94.36,512,furniture_decor
00c8c7f0cafacc30bfda2a9a7445ec80,신규 고객,34,1,85.27,412,furniture_decor
00d447911e5d5ae87480df8734b915f2,관심 고객,29,1,280.65,515,sports_leisure
00d7812c158831a996a6b3f4698643b5,신규 고객,11,1,23.28,511,computers_accessories
00d8a60ad2500432d9edd109cfddfd9e,이탈 고객,113,1,71.85,212,computers_accessories
00df047af693b421c167e27932bfd6c5,관심 고객,57,1,168.08,414,baby
00e130c15fdc51673742f622aa7eb63c,관심 고객,46,1,123.49,413,art
00f326313b0a02392c17028f78338df0,신규 고객,11,1,39.37,511,computers_accessories
00fd18b088edb95d1a35457f1c0e1bfa,이탈 위험 고객,89,1,108.2,213,cool_stuff
00fd4a627a3b93cff0729f0b3554640d,관심 고객,27,1,678.9300000000001,515,garden_tools
01007c64cbffc1eef7ee682dae0ddbfe,관심 고객,40,1,199.4,414,health_beauty
010a0365ab237a5e2fed9d945121b627,신규 고객,47,1,73.47,412,sports_leisure
011733687890faf081be6fde9e7cc7a0,관심 고객,71,1,129.72,313,auto
0117fb2675e2936a2e96dee22e8c992b,이탈 위험 고객,108,1,98.09,213,sports_leisure
012452d40dafae4df401bced74cdb490,이탈 위험 고객,109,1,340.07,215,health_beauty
013dd47ed31ce4de00cb434b2cae5386,이탈 위험 고객,141,1,139.03,113,auto
013ef03e0f3f408dd9bf555e4edcdc0a,충성 고객,42,2,245.37,454,['musical_instruments' 'toys']
01462a1d33f1b303bead3ec1ae2c4f7e,관심 고객,52,1,142.71,413,housewares
01541e2754a6e7830b2871d7191d27e2,신규 고객,20,1,58.05,511,housewares
015613e1b7c050cd2331d34076fce1c6,이탈 위험 고객,153,1,98.6,113,garden_tools
0156e3456c1959644b2da32c2cee358c,신규 고객,28,1,93.28,512,bed_bath_table
015b72d1a4ec2bfcf75518ada117c62b,관심 고객,44,1,523.6,415,pet_shop
0165dc4e0c64d7c1e17757ab8676f213,이탈 위험 고객,92,1,117.51,213,housewares
016dc4411329d2b3292a0fbf1402e95e,관심 고객,72,1,238.44,314,cool_stuff
0178b244a5c281fb2ade54038dd4b161,관심 고객,34,1,473.58000000000004,415,bed_bath_table
01798446b9d249eb006931079a273601,신규 고객,49,1,88.09,412,health_beauty
017ae1edebbc1749a64a520e37633c3c,이탈 위험 고객,121,1,412.42,115,housewares
017c4e59e1a95482f32f65e03a46af95,이탈 고객,106,1,82.92,212,sports_leisure
017c5a91ab1759799a4d68be8091b8ab,이탈 고객,127,1,83.37,112,bed_bath_table
017fe3adcd1989f1ea8bac1848bd1b94,이탈 고객,94,1,42.79,211,electronics
018864afd6d3af6af6e3cf1245fc5ff8,이탈 고객,112,1,17.29,211,stationery
01922cf678f7c6d925421a273a885fbf,관심 고객,65,1,104.84,313,bed_bath_table
0196285e88e29cdf2c0afba10cddd9f0,신규 고객,45,1,37.25,411,electronics
019ea19e666644625032de5efe2ceb71,이탈 위험 고객,108,1,109.42,213,sports_leisure
019fcfdd0b0ec239cc2b536428064c47,관심 고객,51,1,688.56,415,watches_gifts
01a4fe5fc00bbdb0b0a4af5a5345cca5,이탈 위험 고객,92,1,472.72,215,health_beauty
01a551a1f8c7955ba259897b2e3d2e30,신규 고객,9,1,55.38,511,housewares
