Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment
113,1,141.9,2,1,3,213,이탈 위험 고객
10,1,27.75,5,1,1,511,신규 고객
34,1,122.07,4,1,3,413,관심 고객
6,1,329.62,5,1,5,515,관심 고객
122,1,197.27,1,1,4,114,이탈 위험 고객
65,1,124.32,3,1,3,313,관심 고객
38,1,428.16,4,1,5,415,관심 고객
115,1,44.23,2,1,1,211,이탈 고객
110,1,1092.24,2,1,5,215,이탈 위험 고객
24,1,147.38,5,1,3,513,관심 고객
36,1,62.91,4,1,2,412,신규 고객
46,1,993.55,4,1,5,415,관심 고객
19,1,397.4,5,1,5,515,관심 고객
22,1,171.88,5,1,4,514,관심 고객
112,1,89.25,2,1,2,212,이탈 고객
71,1,65.33,3,1,2,312,이탈 위험 고객
73,1,190.28,3,1,4,314,관심 고객
66,1,79.51,3,1,2,312,이탈 위험 고객
108,1,40.94,2,1,1,211,이탈 고객
15,1,136.64,5,1,3,513,관심 고객
139,1,64.04,1,1,2,112,이탈 고객
17,1,199.26,5,1,4,514,관심 고객
69,1,78.51,3,1,2,312,이탈 위험 고객
112,1,1380.5500000000002,2,1,5,215,이탈 위험 고객
30,1,94.36,5,1,2,512,신규 고객
34,1,85.27,4,1,2,412,신규 고객
29,1,280.65,5,1,5,515,관심 고객
11,1,23.28,5,1,1,511,신규 고객
113,1,71.85,2,1,2,212,이탈 고객
57,1,168.08,4,1,4,414,관심 고객
46,1,123.49,4,1,3,413,관심 고객
11,1,39.37,5,1,1,511,신규 고객
89,1,108.2,2,1,3,213,이탈 위험 고객
27,1,678.9300000000001,5,1,5,515,관심 고객
40,1,199.4,4,1,4,414,관심 고객
47,1,73.47,4,1,2,412,신규 고객
71,1,129.72,3,1,3,313,관심 고객
108,1,98.09,2,1,3,213,이탈 위험 고객
109,1,340.07,2,1,5,215,이탈 위험 고객
141,1,139.03,1,1,3,113,이탈 위험 고객
42,2,245.37,4,5,4,454,충성 고객
52,1,142.71,4,1,3,413,관심 고객
20,1,58.05,5,1,1,511,신규 고객
153,1,98.6,1,1,3,113,이탈 위험 고객
28,1,93.28,5,1,2,512,신규 고객
44,1,523.6,4,1,5,415,관심 고객
92,1,117.51,2,1,3,213,이탈 위험 고객
72,1,238.44,3,1,4,314,관심 고객
34,1,473.58000000000004,4,1,5,415,관심 고객
49,1,88.09,4,1,2,412,신규 고객
121,1,412.42,1,1,5,115,이탈 위험 고객
106,1,82.92,2,1,2,212,이탈 고객
127,1,83.37,1,1,2,112,이탈 고객
94,1,42.79,2,1,1,211,이탈 고객
112,1,17.29,2,1,1,211,이탈 고객
65,1,104.84,3,1,3,313,관심 고객
45,1,37.25,4,1,1,411,신규 고객
108,1,109.42,2,1,3,213,이탈 위험 고객
51,1,688.56,4,1,5,415,관심 고객
92,1,472.72,2,1,5,215,이탈 위험 고객
9,1,55.38,5,1,1,511,신규 고객
